pizza_index,raw_menus,time_stamps,menus_clean,garnish,title
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",2010-11-23 19:56:08,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",2011-07-18 16:23:54,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,
4,"Red bell peppers, Onions, Mozzarella, Montalban cheese, Kalamata olives, Garlic olive oil, Italian parsley.",2011-07-28 06:58:19,"red bell peppers, onions, mozzarella, montalban cheese, kalamata olives, garlic olive oil, italian parsley.",,
6,"Red bell peppers, Onions, French feta, Mozzarella, Tapenade.",2011-09-03 05:12:28,"red bell peppers, onions, french feta, mozzarella, tapenade.",,
8,"Gypsy pepper, Onions, French goat cheese, Mozzarella, Fresh herbs, Garlic olive oil.",2011-09-25 07:08:39,"gypsy pepper, onions, french goat cheese, mozzarella, fresh herbs, garlic olive oil.",,
10,"Red bell peppers, Onions, French feta, Mozzarella, Tapenade, Garlic olive oil. ",2011-10-07 00:37:58,"red bell peppers, onions, french feta, mozzarella, tapenade, garlic olive oil. ",,
12,"Red bell peppers, Onions, French feta, Mozzarella, Tapenade, Garlic olive oil. ",2011-10-10 05:10:22,"red bell peppers, onions, french feta, mozzarella, tapenade, garlic olive oil. ",,
14,"Fresh Asiago, Danish Blue, Mozzarella, Parmesan cheese, Red, Yellow , Green Onions, Fresh herbs.",2011-10-26 15:16:17,"fresh asiago, danish blue, mozzarella, parmesan cheese, red, yellow , green onions, fresh herbs.",,
16,"Broccolini, Red onions, Cheddar cheese, Mozzarella, Gremolata, Garlic olive oil. ",2011-11-14 04:44:20,"broccolini, red onions, cheddar cheese, mozzarella, gremolata, garlic olive oil. ",,
18,"4 cheeses (Fresh asiago, Danish blue, Mozzarella, Parmesan), 3 Onions (Red, Yellow , Green), Basil, Garlic olive oil. ",2011-12-07 06:16:17,"4 cheeses (fresh asiago, danish blue, mozzarella, parmesan), 3 onions (red, yellow , green), basil, garlic olive oil. ",,
24,"Roasted Potatoes, Roasted Onions, Gruyere, Mozzarella, Fresh herbs, Garlic olive oil. ",2012-02-08 11:46:03,"roasted potatoes, roasted onions, gruyere, mozzarella, fresh herbs, garlic olive oil. ",,
26,"Crimini mushroom, Onions, French goat cheese, Mozzarella, Fresh herbs, Garlic olive oil.",2012-03-09 12:14:38,"crimini mushroom, onions, french goat cheese, mozzarella, fresh herbs, garlic olive oil.",,
28,"Roma tomatoes, Red onions, Parmesan cheese, Mozzarella, Toasted garlic, Fresh herbs, Garlic olive oil. ",2012-04-09 16:45:45,"roma tomatoes, red onions, parmesan cheese, mozzarella, toasted garlic, fresh herbs, garlic olive oil. ",,
34,"Broccoli, Red bell pepper, Fontina cheese, Mozzarella, Italian Parsley, Garlic olive oil.",2012-06-16 19:02:42,"broccoli, red bell pepper, fontina cheese, mozzarella, italian parsley, garlic olive oil.",,
36,"Zucchini, Onions, French feta cheese, Mozzarella, Basil Pesto (PINE NUTS). ",2012-09-20 01:55:11,"zucchini, onions, french feta cheese, mozzarella, basil pesto (pine nuts). ",,
37, ,2012-09-20 01:55:11, ,,
38,"Roma tomatoes, onions, toasted garlic, mozzarella , parmesan cheese, garlic oil, fresh herbs.",2013-01-16 00:09:19,"roma tomatoes, onions, toasted garlic, mozzarella , parmesan cheese, garlic oil, fresh herbs.",,
40,"Brown mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, Italian Parsley.",2013-02-08 21:35:45,"brown mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, italian parsley.",,
42,"Zucchini, onions, mozzarella , French feta cheese, garlic olive oil, lemon zest, Italian parsley.",2013-03-06 02:10:49,"zucchini, onions, mozzarella , french feta cheese, garlic olive oil, lemon zest, italian parsley.",,
44,"Zucchini, onions, mozzarella , French feta cheese, garlic olive oil, lemon zest, Italian parsley.",2013-03-08 20:53:15,"zucchini, onions, mozzarella , french feta cheese, garlic olive oil, lemon zest, italian parsley.",,
46,"Broccolini, mozzarella , cheddar cheese, lemon zest, Italian parsley.",2013-04-04 18:09:48,"broccolini, mozzarella , cheddar cheese, lemon zest, italian parsley.",,
48,"Roma tomatoes, fresh California corn, mozzarella , parmesan cheese, garlic olive oil, Italian parsley.",2013-04-23 14:10:22,"roma tomatoes, fresh california corn, mozzarella , parmesan cheese, garlic olive oil, italian parsley.",,
52,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-06-21 23:53:21,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
56,"Gypsy pepper, onions, green olives, mozzarella , feta cheese, garlic olive oil, Italian parsley.",2013-07-11 22:04:13,"gypsy pepper, onions, green olives, mozzarella , feta cheese, garlic olive oil, italian parsley.",,
58,"Roma tomatoes, onions, mozzarella, French goat cheese, garlic olive oil, Italian parsley.",2013-08-22 18:29:45,"roma tomatoes, onions, mozzarella, french goat cheese, garlic olive oil, italian parsley.",,
60,"Cremini Mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-10-31 03:41:26,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
62,"Roma tomatoes, onions, mozzarella , gouda cheese, garlic olive oil, fresh herbs.",2013-11-16 17:50:40,"roma tomatoes, onions, mozzarella , gouda cheese, garlic olive oil, fresh herbs.",,
64,"Roma tomatoes, onions, mozzarella , gouda cheese, garlic olive oil, fresh herbs.",2013-11-17 12:39:24,"roma tomatoes, onions, mozzarella , gouda cheese, garlic olive oil, fresh herbs.",,
66,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-11-19 22:51:26,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
68,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-11-20 18:01:33,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
70,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-11-21 21:03:55,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
72,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-11-22 16:39:07,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
74,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-11-23 17:56:05,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
76,"Cremini mushrooms, onions, mozzarella , French goat cheese, garlic olive oil, fresh herbs.",2013-11-24 17:39:41,"cremini mushrooms, onions, mozzarella , french goat cheese, garlic olive oil, fresh herbs.",,
78,"Roma tomatoes, onion, mozzarella , Asiago cheese, garlic olive oil, fresh herbs.",2013-11-25 20:21:53,"roma tomatoes, onion, mozzarella , asiago cheese, garlic olive oil, fresh herbs.",,
80,"Roma tomatoes, onion, mozzarella , Asiago cheese, garlic olive oil, fresh herbs.",2013-11-27 02:29:15,"roma tomatoes, onion, mozzarella , asiago cheese, garlic olive oil, fresh herbs.",,
82,"Roma tomatoes, onion, mozzarella , Asiago cheese, garlic olive oil, fresh herbs.",2013-11-28 04:51:44,"roma tomatoes, onion, mozzarella , asiago cheese, garlic olive oil, fresh herbs.",,
84,"Roma tomatoes, onion, mozzarella , Asiago cheese, garlic olive oil, fresh herbs.",2013-11-29 03:10:10,"roma tomatoes, onion, mozzarella , asiago cheese, garlic olive oil, fresh herbs.",,
86,"Roma tomatoes, onion, mozzarella , Asiago cheese, garlic olive oil, fresh herbs.",2013-11-30 04:42:36,"roma tomatoes, onion, mozzarella , asiago cheese, garlic olive oil, fresh herbs.",,
88,"Roma tomatoes, onion, mozzarella , Asiago cheese, garlic olive oil, fresh herbs.",2013-12-01 08:36:35,"roma tomatoes, onion, mozzarella , asiago cheese, garlic olive oil, fresh herbs.",,
90,"Roasted mushrooms, onions, mozzarella , montalban cheeses, topped with arugula in a lemon vinaigrette.",2013-12-04 08:30:54,"roasted mushrooms, onions, mozzarella , montalban cheeses, topped with arugula in a lemon vinaigrette.",,
92,"Roma tomatoes, onions, mozzarella , feta cheeses, lemon zest, lemon juice, garlic olive oil, cilantro.",2013-12-18 11:56:17,"roma tomatoes, onions, mozzarella , feta cheeses, lemon zest, lemon juice, garlic olive oil, cilantro.",,
94,"Roma tomatoes, onions, mozzarella , feta cheeses, lemon zest, lemon juice, garlic olive oil, cilantro.",2013-12-19 13:47:07,"roma tomatoes, onions, mozzarella , feta cheeses, lemon zest, lemon juice, garlic olive oil, cilantro.",,
96,"Roma tomatoes, onions, mozzarella , feta cheeses, lemon zest, lemon juice, garlic olive oil, cilantro.",2013-12-20 11:46:49,"roma tomatoes, onions, mozzarella , feta cheeses, lemon zest, lemon juice, garlic olive oil, cilantro.",,
99, ,2014-01-12 10:35:33, ,,
100, ,2014-01-20 13:15:10, ,,
102, ,2014-01-21 15:26:55, ,,
104, ,2014-01-22 08:23:09, ,,
106, ,2014-01-23 11:11:29, ,,
110,"Red bell pepper, red onion, mozzarella , Valbreso feta, parsley, lemon citronette",2014-06-25 05:57:22,"red bell pepper, red onion, mozzarella , valbreso feta, parsley, lemon citronette",,
112,"Red bell pepper, red onion, mozzarella , Valbreso feta cheese, Kalamata olive tapenade, garlic olive oil, parsley ",2014-09-22 08:44:17,"red bell pepper, red onion, mozzarella , valbreso feta cheese, kalamata olive tapenade, garlic olive oil, parsley ",,
114,"Zucchini, onion, mozzarella , Valbreso feta cheese, lemon juice, lemon zest, garlic olive oil, parsley",2014-09-27 06:45:59,"zucchini, onion, mozzarella , valbreso feta cheese, lemon juice, lemon zest, garlic olive oil, parsley",,
116,"Cremini mushroom, caramelized onion, baby spinach, toasted Pine nut, mozzarella , Danish Fontina cheese, garlic olive oil, parsley ",2014-10-10 16:16:48,"cremini mushroom, caramelized onion, baby spinach, toasted pine nut, mozzarella , danish fontina cheese, garlic olive oil, parsley ",,
118,"Red Bell pepper, onion, mozzarella , Valbreso feta cheese, Kalamata , green olive tapenade, garlic olive oil, parsley ",2014-10-18 06:21:12,"red bell pepper, onion, mozzarella , valbreso feta cheese, kalamata , green olive tapenade, garlic olive oil, parsley ",,
120,"Zucchini, onion, mozzarella , fresh Ricotta cheese, garlic olive oil, fresh parsley, lemon zest",2014-10-29 05:23:37,"zucchini, onion, mozzarella , fresh ricotta cheese, garlic olive oil, fresh parsley, lemon zest",,
122,"Zucchini, onion, mozzarella , fresh Ricotta cheese, garlic olive oil, fresh parsley, lemon zest",2014-10-30 09:15:18,"zucchini, onion, mozzarella , fresh ricotta cheese, garlic olive oil, fresh parsley, lemon zest",,
124,"Oyster , cremini mushroom, onion, mozzarella , French Presidenté goat cheese, garlic olive oil, parsley",2014-11-06 12:20:42,"oyster , cremini mushroom, onion, mozzarella , french presidenté goat cheese, garlic olive oil, parsley",,
128,"Crushed tomato, red onion, mozzarella , Parmesan cheese, Basil pine nut pesto ",2015-02-06 00:14:21,"crushed tomato, red onion, mozzarella , parmesan cheese, basil pine nut pesto ",,
129,"Crushed tomato, red onion, mozzarella , Parmesan cheese, Basil pine nut pesto ",2015-02-08 07:57:50,"crushed tomato, red onion, mozzarella , parmesan cheese, basil pine nut pesto ",,
130,"Red , green bell pepper, mozzarella , Valbreso feta chesse, Artichoke , cured olive tapenade, parsley",2015-02-17 03:17:55,"red , green bell pepper, mozzarella , valbreso feta chesse, artichoke , cured olive tapenade, parsley",,
131,"First of the season California Asparagus, mozzarella , 15 month aged Prima Donna Gouda, preserved lemon, garlic olive oil, parsley",2015-02-25 01:55:23,"first of the season california asparagus, mozzarella , 15 month aged prima donna gouda, preserved lemon, garlic olive oil, parsley",,
133,"Cremini mushroom, onion, mozzarella , Presidente French goat cheese, garlic olive oil, parsley ",2015-03-10 14:39:27,"cremini mushroom, onion, mozzarella , presidente french goat cheese, garlic olive oil, parsley ",,
134,"Cremini mushroom, onion, mozzarella , Presidente French goat cheese, garlic olive oil, parsley ",2015-03-14 23:23:53,"cremini mushroom, onion, mozzarella , presidente french goat cheese, garlic olive oil, parsley ",,
135,"Roma tomato, red onion, mozzarella , Bulgarian feta cheese, lemon juice, lemon zest, garlic olive oil, cilantro",2015-03-17 08:04:49,"roma tomato, red onion, mozzarella , bulgarian feta cheese, lemon juice, lemon zest, garlic olive oil, cilantro",,
137, ,2015-06-19 06:02:40, ,,
139, ,2015-08-10 17:36:32, ,,
141, ,2015-09-05 09:17:56, ,,
143, ,2015-09-07 02:13:48, ,,
145, ,2015-10-08 08:26:12, ,,
147, ,2015-10-26 06:37:58, ,,
149, ,2015-11-03 06:45:27, ,,
151, ,2015-11-10 06:45:27, ,,
153,Pizzeria Hours & Information,2015-11-19 00:22:05,pizzeria hours & information,,
155,Pizzeria Hours & Information,2015-11-27 16:55:22,pizzeria hours & information,,
157,Pizzeria Hours & Information,2016-02-03 04:33:03,pizzeria hours & information,,
159,Pizzeria Hours & Information,2016-03-07 23:20:18,pizzeria hours & information,,
161,Pizzeria Hours & Information,2016-03-11 20:26:46,pizzeria hours & information,,
163,Pizzeria Hours & Information,2016-03-14 13:55:33,pizzeria hours & information,,
165,Pizzeria Hours & Information,2016-03-21 03:03:33,pizzeria hours & information,,
167,Pizzeria Hours & Information,2016-03-30 06:09:51,pizzeria hours & information,,
169,Pizzeria Hours & Information,2016-04-01 19:53:02,pizzeria hours & information,,
170,CHEESE BOARD PIZZA IS HIRING! Click here,2016-04-06 12:30:44,cheese board pizza is hiring! click here,,
171,Pizzeria Hours & Information,2016-04-06 12:30:44,pizzeria hours & information,,
173, ,2016-04-13 19:51:50, ,,
175, ,2016-04-22 00:40:04, ,,
177, ,2016-04-26 18:48:04, ,,
179, ,2016-04-30 20:00:19, ,,
181, ,2016-05-06 12:11:10, ,,
183, ,2016-05-08 00:46:04, ,,
185, ,2016-05-15 23:45:54, ,,
187, ,2016-05-23 13:58:28, ,,
189, ,2016-06-01 01:31:16, ,,
191, ,2016-06-09 02:57:47, ,,
193, ,2016-06-17 02:33:45, ,,
195, ,2016-06-25 18:56:29, ,,
197, ,2016-07-03 02:29:11, ,,
199, ,2016-07-12 19:51:03, ,,
201, ,2016-07-14 04:42:35, ,,
203, ,2016-07-23 14:25:27, ,,
205, ,2016-07-25 02:35:34, ,,
207, ,2016-08-02 06:12:37, ,,
209, ,2016-08-11 15:58:24, ,,
211, ,2016-08-23 06:54:53, ,,
213, ,2016-09-07 09:07:12, ,,
215, ,2016-09-18 14:22:01, ,,
217, ,2016-09-23 18:02:26, ,,
219, ,2016-09-25 05:17:02, ,,
221, ,2016-10-16 10:33:55, ,,
223, ,2016-10-21 17:43:46, ,,
225, ,2016-10-26 04:48:40, ,,
227, ,2016-10-27 02:50:00, ,,
229, ,2016-11-19 04:42:50, ,,
231, ,2016-11-27 08:54:52, ,,
232,"Artichoke heart, baby spinach, mozzarella , Berkeley-made Belfiore fresh ricotta cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-01-22 06:42:54,"artichoke heart, baby spinach, mozzarella , berkeley-made belfiore fresh ricotta cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
233,"Broccolini, caper, mozzarella , Berkeley-made Belfiore fresh ricotta cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-01-22 06:42:54,"broccolini, caper, mozzarella , berkeley-made belfiore fresh ricotta cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
235,"Cremini mushroom, baby kale, mozzarella, toasted pine nut; garnished with Parmesan, garlic olive oil, parsley",2019-01-22 06:42:54,"cremini mushroom, baby kale, mozzarella, toasted pine nut"," garnished with Parmesan, garlic olive oil, parsley",
236,"Red bell pepper, spinach, red onion, mozzarella , feta cheese; garnished with kalamata , green olive tapenade, parsley  ",2019-01-22 06:42:54,"red bell pepper, spinach, red onion, mozzarella , feta cheese"," garnished with kalamata , green olive tapenade, parsley  ",
237,"Crimini mushroom, onion, mozzarella , Skyhill Farm goat cheese; garnished with garlic olive oil, Italian parsley , oregano",2019-01-22 06:42:54,"crimini mushroom, onion, mozzarella , skyhill farm goat cheese"," garnished with garlic olive oil, Italian parsley , oregano",
238,"Artichoke heart, baby spinach, mozzarella , Berkeley-made Belfiore fresh ricotta cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-01-22 06:42:55,"artichoke heart, baby spinach, mozzarella , berkeley-made belfiore fresh ricotta cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
239,"Broccolini, caper, mozzarella , Berkeley-made Belfiore fresh ricotta cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-01-22 06:42:55,"broccolini, caper, mozzarella , berkeley-made belfiore fresh ricotta cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
241,"Cremini mushroom, baby kale, mozzarella, toasted pine nut; garnished with Parmesan, garlic olive oil, parsley",2019-01-22 06:42:55,"cremini mushroom, baby kale, mozzarella, toasted pine nut"," garnished with Parmesan, garlic olive oil, parsley",
242,"Red bell pepper, spinach, red onion, mozzarella , feta cheese; garnished with kalamata , green olive tapenade, parsley  ",2019-01-22 06:42:55,"red bell pepper, spinach, red onion, mozzarella , feta cheese"," garnished with kalamata , green olive tapenade, parsley  ",
243,"Crimini mushroom, onion, mozzarella , Skyhill Farm goat cheese; garnished with garlic olive oil, Italian parsley , oregano",2019-01-22 06:42:55,"crimini mushroom, onion, mozzarella , skyhill farm goat cheese"," garnished with garlic olive oil, Italian parsley , oregano",
244,"Crimini mushroom, onion, mozzarella , Skyhill Farm goat cheese; garnished with garlic olive oil, Italian parsley , oregano",2019-01-27 14:25:56,"crimini mushroom, onion, mozzarella , skyhill farm goat cheese"," garnished with garlic olive oil, Italian parsley , oregano",
245,"Crimini mushroom, onion, mozzarella , Skyhill Farm goat cheese; garnished with garlic olive oil, Italian parsley , oregano",2019-01-27 14:25:57,"crimini mushroom, onion, mozzarella , skyhill farm goat cheese"," garnished with garlic olive oil, Italian parsley , oregano",
246,"Crimini mushroom, caramelized onion, baby spinach, mozzarella , fresh Asiago cheese, pine nut; garnished with garlic olive oil , Italian parsley",2019-03-07 15:17:24,"crimini mushroom, caramelized onion, baby spinach, mozzarella , fresh asiago cheese, pine nut"," garnished with garlic olive oil , Italian parsley",
247,"Asparagus, mozzarella , Ossau-Iraty cheese; garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",2019-03-07 15:17:24,"asparagus, mozzarella , ossau-iraty cheese"," garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",
248,"Crushed tomato, onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",2019-03-07 15:17:24,"crushed tomato, onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",
250,"Crimini mushroom, caramelized onion, baby spinach, mozzarella , fresh Asiago cheese, pine nut; garnished with garlic olive oil , Italian parsley",2019-03-07 15:17:25,"crimini mushroom, caramelized onion, baby spinach, mozzarella , fresh asiago cheese, pine nut"," garnished with garlic olive oil , Italian parsley",
251,"Asparagus, mozzarella , Ossau-Iraty cheese; garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",2019-03-07 15:17:25,"asparagus, mozzarella , ossau-iraty cheese"," garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",
252,"Crushed tomato, onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",2019-03-07 15:17:25,"crushed tomato, onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",
254,"Asparagus, mozzarella , Ossau-Iraty cheese; garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",2019-03-08 15:29:50,"asparagus, mozzarella , ossau-iraty cheese"," garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",
255,"Crushed tomato, onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",2019-03-08 15:29:50,"crushed tomato, onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",
257,"Asparagus, mozzarella , Ossau-Iraty cheese; garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",2019-03-08 15:29:51,"asparagus, mozzarella , ossau-iraty cheese"," garnished with baby arugula , sugar snap pea in a lemon-mint vinaigrette",
258,"Crushed tomato, onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",2019-03-08 15:29:51,"crushed tomato, onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",
260,"Crushed tomato, onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",2019-03-09 15:20:13,"crushed tomato, onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",
262,"Crushed tomato, onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",2019-03-09 15:20:14,"crushed tomato, onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , lemon juice, fresh cilantro",
266,"Crimini mushroom, red onion, mozzarella cheese; garnished with truffle pecorino cheese , organic baby arugula in a lemon vinaigrette",2019-06-22 08:19:14,"crimini mushroom, red onion, mozzarella cheese"," garnished with truffle pecorino cheese , organic baby arugula in a lemon vinaigrette",
267,"Zucchini, red onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-06-22 08:19:14,"zucchini, red onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
268,"Crimini mushroom, red onion, mozzarella cheese; garnished with truffle pecorino cheese , organic baby arugula in a lemon vinaigrette",2019-06-22 08:19:23,"crimini mushroom, red onion, mozzarella cheese"," garnished with truffle pecorino cheese , organic baby arugula in a lemon vinaigrette",
269,"Zucchini, red onion, mozzarella , Valbreso feta cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-06-22 08:19:23,"zucchini, red onion, mozzarella , valbreso feta cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
270,"Zucchini, red onion, mozzarella , Sky Hill Farms goat cheese; garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-07-15 18:34:26,"zucchini, red onion, mozzarella , sky hill farms goat cheese"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
271,"Red bell pepper, organic baby spinach, mozzarella , Valbreso feta cheese; garnished with house made olive tapenade ",2019-07-15 18:34:26,"red bell pepper, organic baby spinach, mozzarella , valbreso feta cheese", garnished with house made olive tapenade ,
272,"Crimini mushroom, green bell pepper, mozzarella , Valbreso feta cheese; garnished with garlic olive oil , Italian parsley",2019-07-15 18:34:26,"crimini mushroom, green bell pepper, mozzarella , valbreso feta cheese"," garnished with garlic olive oil , Italian parsley",
273,"Corn, onion, organic zucchini (Golden Rule Organics), Valbreso feta , mozzarella cheese; garnished with garlic olive oil, cilantro, fresh lime",2019-07-15 18:34:26,"corn, onion, organic zucchini (golden rule organics), valbreso feta , mozzarella cheese"," garnished with garlic olive oil, cilantro, fresh lime",
274,"Cherry tomato, onion, Valbreso feta , mozzarella cheese;  garnished with garlic olive oil, lemon juice, organic lemon zest, cilantro",2019-07-15 18:34:26,"cherry tomato, onion, valbreso feta , mozzarella cheese","  garnished with garlic olive oil, lemon juice, organic lemon zest, cilantro",
275,"Artichoke heart, organic baby spinach, mozzarella , Berkeley-made fresh ricotta cheese (Belfiore); garnished with garlic olive oil, organic lemon zest , Italian parsley",2019-07-15 18:34:26,"artichoke heart, organic baby spinach, mozzarella , berkeley-made fresh ricotta cheese (belfiore)"," garnished with garlic olive oil, organic lemon zest , Italian parsley",
282,"Roasted eggplant, house made tomato sauce, mozzarella cheese; garnished with garlic-parmesan-basil breadcrumbs",2019-07-25 00:54:57,"roasted eggplant, house made tomato sauce, mozzarella cheese", garnished with garlic-parmesan-basil breadcrumbs,
283,"Corn, pasilla pepper, red onion, Valbreso feta cheese, mozzarella cheese; garnished with garlic olive oil, cilantro, lime",2019-07-25 00:54:57,"corn, pasilla pepper, red onion, valbreso feta cheese, mozzarella cheese"," garnished with garlic olive oil, cilantro, lime",
284,"Heirloom tomato (Full Belly Farms), herbed ricotta cheese, mozzarella cheese; garnished with garlic olive oil , Italian parsley",2019-07-25 00:54:57,"heirloom tomato (full belly farms), herbed ricotta cheese, mozzarella cheese"," garnished with garlic olive oil , Italian parsley",
285,"Crimini mushroom, goat cheese (Sky Hill Farms), red onion, mozzarella cheese; garnished with garlic olive oil, oregano, Italian parsley",2019-07-25 00:54:57,"crimini mushroom, goat cheese (sky hill farms), red onion, mozzarella cheese"," garnished with garlic olive oil, oregano, Italian parsley",
286,"Green, yellow, red onion, mozzarella cheese, Asiago cheese; garnished with Dunbarton blue cheese, garlic olive oil, Italian parsley",2019-07-25 00:54:57,"green, yellow, red onion, mozzarella cheese, asiago cheese"," garnished with Dunbarton blue cheese, garlic olive oil, Italian parsley",
